title,genre,rating,size,release_year,platform,description,cover_image_url,video_url,screenshot
Dynasty Warriors 9 Empires,"[""Action"", ""Strategy""]",7,40,2022,PS4,Game hack and slash dengan elemen strategi kerajaan.,https://static.wikia.nocookie.net/dynastywarriors/images/8/83/DW9E_JP_Cover.png,,
EA SPORTS UFC 4,"[""Sports"", ""Fighting""]",7.9,28,2020,PS4,Game MMA realistis dengan sistem pertarungan dan career mode mendalam.,https://romsfun.com/wp-content/uploads/2021/07/9283085bc059d945eea09f642c314fb9-1.jpg,,
eFootball PES 2021 Season Update,"[""Sports"", ""Simulation""]",7.8,40,2020,PS4,Game sepak bola dengan update skuad dan gameplay realistis.,https://images.igdb.com/igdb/image/upload/t_cover_big/co2g3c.webp,,
Elden Ring,"[""Action"", ""RPG"", ""Open World""]",9.5,48,2022,PS4,RPG dunia terbuka kolaborasi FromSoftware dengan eksplorasi bebas dan pertarungan menantang.,https://romsfun.com/wp-content/uploads/2023/06/Elden-Ring-Premernoe-izdanie.jpg,,
F1 2023,"[""Racing"", ""Simulation""]",8.6,60,2023,PS4,Simulasi balap Formula 1 resmi dengan mode karier terbaru.,https://m.media-amazon.com/images/I/81ByZLs0BCL.jpg,,
Fallout 4 GOTY Edition,"[""RPG"", ""Open World""]",8.7,45,2016,PS4,"Apa yang akan Anda lakukan ketika Anda membuka mata dan mendapati diri Anda berada di area beku jauh di dalam tanah, terisolasi dari orang-orang di seluruh dunia, dan harus menyaksikan pasangan Anda dibunuh dan bayi Anda dirampok atau hilang? “Fallout 4” akan menjawab semua pertanyaan ini. Dalam game “Fallout 4”, Anda akan berperan sebagai penyintas terakhir setelah perang ledakan nuklir untuk menemukan anak-anak yang hilang dan menghancurkan musuh di sekitar area permainan. Musuh terbesar para pemain adalah serangga yang telah bermutasi akibat perang ini. Pemain harus mengendalikan karakter melalui gerbang area beku di bawah tanah dengan misi yang tersebar di sekitar area permainan. Tugas pemain adalah menemukan komputer dan mengakses datanya untuk melarikan diri dari tempat itu. “Fallout 4” adalah seri game yang telah meraih kesuksesan komersial dalam seri Fallout karena gameplay-nya menarik perhatian para gamer di seluruh dunia. Karena itu, dalam 24 jam pertama perilisannya, game ini telah menghasilkan 750 juta dolar AS.",https://romsfun.com/wp-content/uploads/2019/11/fallout-4-ps4.jpeg,,
Far Cry 5,"[""Action"", ""Shooter"", ""Open World""]",8.1,45.27,2018,PS4,"Far Cry hadir di Amerika dalam seri terbaru dari franchise pemenang penghargaan ini. Selamat datang di Hope County, Montana, tanah kebebasan dan rumah bagi para pemberani, tetapi juga rumah bagi sekte kiamat fanatik yang dikenal sebagai Eden's Gate. Lawan pemimpin sekte Joseph Seed, dan saudara-saudaranya, para Herald, untuk menyulut api perlawanan dan membebaskan komunitas yang terkepung.",https://romsfun.com/wp-content/uploads/2021/04/1618735760-f4c9c0b3-350c-4dfe-a671-6ee4a11ea92f.jpg,,
Far Cry 6,"[""Action"", ""Shooter"", ""Open World""]",7.8,55,2021,PS4,"Far Cry 6 mengungkap sebuah pulau Karibia yang bergejolak dengan ketegangan revolusioner. Game ini menampilkan aktor Giancarlo Esposito (“Better Call Saul,” “The Boys,” “The Mandalorian”) sebagai Presiden Anton Castillo, pemimpin kejam yang mencengkeram pulau Yara dengan tangan besi, menjanjikan kembalinya kejayaan masa lalu. Dengan persenjataan dan sekutu di belakang Anda, Anda akan melawan rezim Castillo dan berjuang untuk masa depan Yara. Sebagai Dani Rojas (dapat dimainkan sebagai karakter wanita atau pria), Anda akan membantu mengobarkan api revolusi melalui perang gerilya di seluruh pulau Yara, dari hutan lebat hingga jalanan perkotaan ibu kota, Esperanza. Anda akan menggunakan berbagai senjata dan kendaraan yang ampuh, dan membangun jaringan sekutu untuk bertarung bersama Anda, termasuk Fangs for Hire seperti Chorizo, anjing sosis yang berbahaya dan suka mengalihkan perhatian. Saat Presiden Castillo mempersiapkan putranya, Diego, yang diperankan oleh Anthony Gonzalez (“Coco”), untuk menggantikannya, Anda akan melakukan segala yang Anda bisa untuk memastikan rencananya tidak terwujud.",https://romsfun.com/wp-content/uploads/2024/07/Far-Cry-6.jpg,,
Farming Simulator 22,"[""Simulation""]",8.2,35,2021,PS4,Simulasi pertanian realistis dengan kendaraan dan sistem ekonomi modern.,"https://m.media-amazon.com/images/I/81gAlXr8VSS._AC_UF1000,1000_QL80_.jpg",,
Final Fantasy VII Remake,"[""Action"", ""RPG""]",8.9,90,2020,PS4,"Final Fantasy VII Remake adalah penafsiran ulang dari game orisinal yang ikonik dengan karakter-karakter yang tak terlupakan, cerita yang menakjubkan, dan pertempuran epik. Dunia berada di bawah kendali Shinra, sebuah perusahaan yang mengendalikan kekuatan kehidupan planet ini sebagai energi mako. Di kota Midgar, Cloud Strife, mantan anggota unit elit SOLDIER Shinra yang kini menjadi tentara bayaran, memberikan bantuannya kepada kelompok perlawanan Avalanche, tanpa menyadari konsekuensi epik yang menantinya. Kisah game pertama yang berdiri sendiri dalam proyek Final Fantasy VII Remake ini mencakup hingga pelarian kelompok tersebut dari Midgar, dan menggali lebih dalam peristiwa yang terjadi di Midgar daripada Final Fantasy VII yang asli.",https://romsfun.com/wp-content/uploads/2021/04/1618735775-7a07f5f9-5244-45f1-b91d-ae29fe4e03ab-300x374.jpg,,
FIFA 23,"[""Sports"", ""Simulation""]",8.2,50,2022,PS4,Game sepak bola terakhir berlisensi FIFA dengan mode dan liga lengkap.,"https://m.media-amazon.com/images/I/71d6+uStBEL._AC_UF1000,1000_QL80_.jpg",,
Ghost of Tsushima Director's Cut,"[""Action"", ""Adventure"", ""Open World""]",9.2,60,2021,PS4,Petualangan samurai sinematik dengan dunia Jepang feodal.,https://romsfun.com/wp-content/uploads/2021/04/1618735797-e45c7c13-3b92-43e7-83e1-329041919414-300x374.jpg,,
God of War (2018),"[""Action"", ""Adventure""]",9.4,45,2018,PS4,Reboot God of War dengan cerita ayah-anak dan mitologi Nordik.,https://romsfun.com/wp-content/uploads/2021/04/1619102196-3be48f28-6c65-4f5b-84dd-d41260072638-300x371.png,,
God of War Ragnarök,"[""Action"", ""Adventure""]",9.3,90,2022,PS4,"God of War Ragnarök adalah gim aksi-petualangan yang dikembangkan oleh Santa Monica Studio dan diterbitkan oleh Sony Interactive Entertainment. Gim ini dirilis di seluruh dunia pada tanggal 9 November 2022 untuk PlayStation 4 dan PlayStation 5, menandai perilisan lintas generasi pertama dalam seri God of War. Ini adalah seri kesembilan dalam seri ini, yang kesembilan secara kronologis, dan sekuel dari God of War tahun 2018. Secara garis besar berdasarkan mitologi Nordik, gim ini berlatar di Skandinavia kuno dan menampilkan protagonis seri Kratos dan putranya yang masih remaja, Atreus. Sebagai penutup era Nordik dalam seri ini, gim ini mencakup Ragnarök, peristiwa eskatologis yang menjadi inti mitologi Nordik dan telah diramalkan akan terjadi dalam gim sebelumnya setelah Kratos membunuh dewa Æsir, Baldur.",https://romsfun.com/wp-content/uploads/2024/07/God-Of-War-Ragnarok.jpg,,
Gran Turismo Sport,"[""Racing"", ""Simulation""]",7.9,60,2017,PS4,"“Gran Turismo Sport” dikenal sebagai seri game balap dramatis dari Polyphony Digital, yang dirilis hanya untuk PlayStation 4. Ini adalah salah satu versi baru dari seri dengan nama yang sama, yang dirilis setelah kesuksesan komersial besar-besaran di seluruh dunia. Dalam game “Gran Turismo Sport”, Anda dapat secara pribadi merasakan kompetisi balap mobil online dengan pemain lain sehingga Anda dapat menunjukkan bakat Anda dengan teknik balap. “Gran Turismo Sport” menyediakan lebih dari 309 mobil balap profesional dengan mode kampanye game yang menarik seperti mode Olahraga dan mode Arkade. Dalam mode olahraga, pemain dapat berpartisipasi dalam 3 balapan harian yang diperbarui setiap minggu dengan posisi peringkat dramatis hanya untuk pembalap profesional. Peringkat akan mengevaluasi pemain melalui posisi level dari E hingga S. Jika pemain berhasil menyelesaikan balapan dengan teknik yang sulit dalam game, mereka akan menerima poin bonus kombo dan dapat memenangkan posisi A+ dan S.",https://romsfun.com/wp-content/uploads/2019/11/gran-turismo-sport-ps4.png,,
Grand Theft Auto V,"[""Action"", ""Open World""]",9.6,80,2014,PS4,Game open world kriminal dengan tiga karakter dan mode online.,https://romsfun.com/wp-content/uploads/2019/11/grand-theft-auto-v-ps4-300x376.png,,
Grand Theft Auto San Andreas Definitive Edition,"[""Action"", ""Open World""]",7,22.74,2021,PS4,Versi remaster GTA klasik dengan grafis modern.,https://romsfun.com/wp-content/uploads/2021/07/182-1.jpg,,
Harvest Moon: One World,"[""Simulation"", ""RPG""]",6.9,3,2021,PS4,Game simulasi bertani dengan eksplorasi dunia luas.,https://romsfun.com/wp-content/uploads/2021/07/harvest-moon-one-world-ps4-561x700-1.jpg,,
HITMAN 2,"[""Stealth"", ""Action""]",8.2,45,2018,PS4,Game stealth sandbox dengan kebebasan menyelesaikan misi.,https://romsfun.com/wp-content/uploads/2021/07/Screenshot-2021-04-21-144549-300x394-1.png,,
Hogwarts Legacy,"[""RPG"", ""Open World""]",8.7,80,2023,PS4,RPG dunia sihir Harry Potter dengan eksplorasi Hogwarts.,https://i.ebayimg.com/images/g/7V0AAOSwaZplU6X0/s-l1200.jpg,,
Horizon Forbidden West,"[""Action"", ""RPG"", ""Open World""]",8.9,90,2022,PS4,"Horizon Forbidden West melanjutkan kisah Aloy, seorang pemburu muda dari suku Nora dan klon dari ilmuwan Dunia Lama, Elisabet Sobeck, saat ia memimpin sekelompok teman dalam sebuah perjalanan ke perbatasan misterius yang dikenal sebagai Barat Terlarang untuk menemukan sumber wabah misterius yang membunuh semua yang terinfeksinya. Dalam perjalanannya melintasi tanah yang belum dipetakan ini, Aloy bertemu dengan wilayah-wilayah baru yang dilanda badai besar dan mesin-mesin mematikan, serta berkonflik dengan suku perampok nomaden yang telah menjinakkan mesin-mesin tersebut sebagai tunggangan perang. Ia menemukan beragam lingkungan dan ekosistem, termasuk lembah yang subur, gurun yang kering, pegunungan bersalju, pantai tropis, kota-kota yang hancur, dan lingkungan bawah laut.","https://m.media-amazon.com/images/I/817v5DNSOSL._AC_UF1000,1000_QL80_.jpg",,
Horizon Zero Dawn Complete Edition,"[""Action"", ""RPG"", ""Open World""]",8.8,47.85,2017,PS4,"Di dunia pasca-apokaliptik yang subur di mana alam telah merebut kembali reruntuhan peradaban yang terlupakan, kantong-kantong umat manusia bertahan hidup dalam suku-suku pemburu-pengumpul primitif. Kekuasaan mereka atas alam liar yang baru telah direbut oleh Mesin – makhluk mekanik menakutkan yang asal-usulnya tidak diketahui. Horizon Zero Dawn adalah gim role-playing aksi baru yang mendebarkan eksklusif untuk PlayStation 4, dikembangkan oleh Guerrilla Games yang memenangkan penghargaan, pencipta franchise Killzone yang dihormati di PlayStation. Selain gim dasar, Horizon Zero Dawn: Complete Edition menyertakan ekspansi The Frozen Wilds, buku seni digital, Tema Dinamis PS4, dan bonus Senjata, Pakaian, dan Sumber Daya.",https://romsfun.com/wp-content/uploads/2021/04/1618735842-b7dca0fe-95cb-4686-9bdb-a54f8af07d8d.jpg,,
Hot Wheels Unleashed,"[""Racing"", ""Arcade""]",8,22,2021,PS4,Game balap arcade cepat dengan mobil Hot Wheels.,https://m.media-amazon.com/images/I/81striZRCFL.jpg,,
Hotel Transylvania 3,"[""Adventure"", ""Family""]",6.5,5,2018,PS4,Game petualangan ringan berbasis film animasi.,"https://m.media-amazon.com/images/I/91MhuC00nzL._AC_UF1000,1000_QL80_.jpg",,
Injustice 2,"[""Fighting""]",8.4,45,2017,PS4,"Salah satu seri game fighting terbaik dari studio game di dunia adalah seri game “Injustice 2”. “Injustice 2” dikenal sebagai seri game fighting dengan adegan simulasi berdasarkan semesta DC. Game ini merupakan produk Warner Bros Entertainment yang merupakan kelanjutan dari seri sebelumnya pada tahun 2017 dengan gameplay baru dan lebih baik yang berbeda dari versi aslinya. Itulah mengapa “Injustice 2” telah memikat sebagian besar penggemar seri video game ini di seluruh dunia. Mirip dengan pendahulunya, pemain dapat memilih salah satu karakter khas yang terpasang di menu game untuk memasuki pertempuran dengan lawan. Tugas pemain adalah melakukan serangan dasar atau kombo abadi untuk dapat melukai lawan dan menjatuhkan petarung mereka. Setiap petarung akan diberikan empat kriteria dasar: kekuatan, pertahanan, kesehatan, dan kemampuan saat berpartisipasi dalam pertarungan dengan karakter pemain untuk dapat mendukung mereka selama pertarungan. Pemain yang mendapatkan poin pengalaman dapat dipromosikan dan statistik karakter akan meningkat.",https://romsfun.com/wp-content/uploads/2019/11/injustice-2-ps4.png,,
It Takes Two,"[""Adventure"", ""Co-op""]",9.1,45,2021,PS4,Game co-op kreatif dengan gameplay variatif dan cerita emosional.,https://m.media-amazon.com/images/I/81KoPFvl9XL.jpg,,
Jump Force,"[""Fighting"", ""Action""]",7.4,20,2019,PS4,"Para pahlawan Manga paling terkenal dilemparkan ke medan pertempuran yang sama sekali baru: dunia kita. Bersatu untuk melawan ancaman paling berbahaya, Jump Force akan memikul nasib seluruh umat manusia. Buat avatar Anda sendiri dan terjun ke Mode Cerita orisinal untuk bertarung bersama para pahlawan Manga terkuat dari Dragon Ball Z, One Piece, Naruto, Bleach, Hunter x Hunter, Yu-Gi-Oh!, Yu Yu Hakusho, Saint Seiya, dan banyak lainnya. Atau kunjungi Lobi Online untuk menantang pemain lain dan temukan banyak mode dan aktivitas.",https://romsfun.com/wp-content/uploads/2021/04/1618735860-b425e3ae-a714-4058-aa95-55c386a7f985.jpg,,
Just Cause 3,"[""Action"", ""Open World""]",7.6,40.84,2015,PS4,"“Just Cause 3” terdengar familiar, bukan? Ya, ini adalah seri game selanjutnya yang dikembangkan setelah seri Just Cause yang epik sebelumnya dirilis. Untuk merayakan kesuksesan besar seri game Just Cause, Avalanche Studios telah merilis seri game “Just Cause 3” untuk menandai tonggak kesuksesan komersial terbesar game tersebut. Dikenal karena petualangan aksinya yang menegangkan, “Just Cause 3” memulai debutnya untuk para penggemar di seluruh dunia dengan serangkaian pertemuan seru dalam kampanye game. Dalam “Just Cause 3”, Anda akan memainkan peran protagonis bernama Rico Rodriguez untuk menjelajahi pulau-pulau misterius di dunia terbuka Medici. Seperti pendahulunya, “Just Cause 3” memungkinkan pemain untuk menggunakan senjata dan berbagai kendaraan untuk meratakan markas musuh. Misi Anda adalah mengisi amunisi dan terus menghancurkan target yang ada di depan mata. Untuk membuka level baru, Anda harus menghancurkan semua musuh dan menyelesaikan tugas yang diberikan.",https://romsfun.com/wp-content/uploads/2019/11/just-cause-3-ps4.png,,
Just Cause 4,"[""Action"", ""Open World""]",6.9,55,2018,PS4,"Mendengar nama “Just Cause 4” pasti terasa familiar, bukan? Seperti yang Anda duga, ini adalah game terbaru dari seri Just Cause yang dikembangkan oleh Avalanche Studios. Sama seperti versi sebelumnya, “Just Cause 4” menjanjikan aksi-petualangan yang paling seru. Game ini menggunakan sudut pandang orang ketiga seperti game aslinya, dengan karakter utama yang akan diperankan pemain adalah Rico Rodriguez. Memasuki game, pemain akan menjelajahi berbagai aspek area permainan di dunia Solis yang luas, yang menampung beragam bioma kehidupan. Game ini memberikan Rico kemampuan super dengan sayap dan kait pengaitnya, sehingga karakter dapat menempelkan balon atau booster ke objek. Pemain akan mengendalikan karakter untuk bergerak di sekitar area permainan, menghindari tembakan musuh, dan menggunakan senjata untuk menghancurkan mereka. Selain mengendalikan karakter penyerang langsung, pemain juga dapat mengendalikan pesawat tempur untuk menggunakan roket guna menyerang pangkalan udara.",https://romsfun.com/wp-content/uploads/2019/11/Just-Cause-4-ps4.jpg,,
Kamen Rider: Memory of Heroez,"[""Action"", ""RPG""]",7.6,25,2020,PS4,"Perubahan wujud adalah sinonim untuk KAMEN RIDER. Dalam judul ini, “Sistem Rantai Wujud” memungkinkan untuk menciptakan aksi baru yang memanfaatkan sepenuhnya perubahan wujud. Pilih wujud yang ingin Anda ubah dan gerakan yang Anda lakukan setelah perubahan wujud secara bersamaan, memungkinkan Anda untuk melakukan aksi yang sesuai dengan kondisi pertempuran dan aksi yang lebih mirip dengan KAMEN RIDER. Nikmati aksi KAMEN RIDER yang lebih canggih saat Anda melawan musuh dengan kombo orisinal Anda sendiri sambil mengubah wujud Anda satu demi satu.",https://romsfun.com/wp-content/uploads/2024/07/Kamen-Rider-Memory-of-Heroez.jpg,,
Kingdom Hearts III,"[""Action"", ""RPG""]",8.3,40,2019,PS4,"Jika berbicara tentang Kingdom Hearts, tidak ada yang tidak mengenal game klasik super di dunia video game ini. Tepatnya, ini adalah seri sepuluh game yang dikembangkan oleh Square Enix dalam beberapa tahun terakhir. Melalui konsol PlayStation 4, Anda akan dapat menikmati game paling luar biasa dalam seri Kingdom Hearts, yaitu “Kingdom Hearts III”. Game ini dirilis dengan memainkan peran penting dalam kesimpulan plot saga Dark Seeker di seri game aslinya. Memasuki game, pemain akan berubah menjadi karakter utama game ini, Sora, bersama dengan karakter kartun lainnya seperti Donald Duck, Goofy, Raja Mickey, dan Riku untuk melakukan pencarian 7 orang pelindung cahaya. Tugas pemain adalah mengendalikan karakter Sora untuk melakukan sihir bersama teman-temannya untuk menghadapi Heartless, Nobody, dan Unversed dalam game. ",https://romsfun.com/wp-content/uploads/2019/11/kingdom-hearts-iii-ps4.png,,
LEGO Batman 3: Beyond Gotham,"[""Action"", ""Adventure""]",7.6,7.14 ,2014,PS4,"Waralaba video game LEGO Batman terlaris kembali dalam petualangan luar angkasa yang penuh aksi! Dalam LEGO Batman 3: Beyond Gotham, Sang Ksatria Berjubah bergabung dengan para pahlawan super dari alam semesta DC Comics dan meluncur ke luar angkasa untuk menghentikan Brainiac jahat menghancurkan Bumi. Menggunakan kekuatan Cincin Lentera, Brainiac mengecilkan dunia untuk menambah koleksi kota-kota miniaturnya yang aneh dari seluruh alam semesta. Kini para pahlawan super terhebat dan penjahat paling licik harus bersatu dan melakukan perjalanan ke berbagai Dunia Lentera untuk mengumpulkan Cincin Lentera dan menghentikan Brainiac sebelum terlambat.",https://romsfun.com/wp-content/uploads/2021/04/1619102305-44589a56-16b8-4eee-a7ce-f13a027e3e02.jpg,,
LEGO Brawls,"[""Fighting"", ""Family""]",7.2,4.31,2022,PS4,"Bangun jalanmu menuju puncak dalam game pertarungan tim yang ringan ini, di mana apa pun bisa terjadi.",https://romsfun.com/wp-content/uploads/2025/04/LEGO-Brawls.jpg,,
LEGO City Undercover,"[""Action"", ""Adventure""]",8,18.85 ,2017,PS4,Game open world LEGO ala GTA untuk semua umur.,https://romsfun.com/wp-content/uploads/2021/07/tai-xuong.jpg,,
LEGO DC Super Villains,"[""Action"", ""Adventure""]",8.1,16,2018,PS4,Petualangan LEGO dengan sudut pandang villain DC.,https://romsfun.com/wp-content/uploads/2021/07/Screenshot-2021-04-21-203057-300x368-1.png,,
LEGO Dimensions,"[""Action"", ""Adventure"", ""Family""]",7.5,15,2015,PS4,"Ketika pusaran misterius dan dahsyat tiba-tiba muncul di berbagai dunia LEGO, berbagai karakter dari DC Comics, The Lord of the Rings, dan The LEGO Movie tersapu. Untuk menyelamatkan teman-teman mereka, Batman, Gandalf, dan Wyldstyle dengan berani melompat ke dalam pusaran dan dengan cepat mendapati diri mereka berjuang untuk menyelamatkan seluruh umat manusia LEGO. Biarkan kreativitas menjadi panduan untuk petualangan membangun dan bermain game. Jelajahi dunia yang tak terduga dan bekerja sama dengan sekutu yang tak terduga dalam upaya mengalahkan Lord Vortech yang jahat. Bermainlah dengan berbagai karakter dari berbagai dunia bersama-sama dalam satu video game LEGO, dan gunakan kendaraan dan gadget satu sama lain dengan cara yang belum pernah mungkin sebelumnya. LEGO Bad Cop mengendarai Mesin Waktu DeLorean. Kenapa tidak?! Para Master Spinjitsu LEGO Ninjago bertarung bersama Wonder Woman…ya, tentu saja! Bersiaplah untuk melanggar aturan, karena satu-satunya aturan di LEGO Dimensions adalah tidak ada aturan.",https://romsfun.com/wp-content/uploads/2021/04/1619102306-675ebe70-89a5-48cc-936d-fb0967e260b6.jpg,,
LEGO Jurassic World,"[""Action"", ""Adventure""]",7.8,8,2015,PS4,"Mengikuti alur cerita epik Jurassic Park, The Lost World: Jurassic Park, dan Jurassic Park III, serta Jurassic World yang sangat dinantikan, LEGO Jurassic World adalah gim video pertama di mana pemain dapat menghidupkan kembali dan mengalami keempat film Jurassic tersebut. Dihadirkan kembali dalam bentuk LEGO dan diceritakan dengan humor LEGO klasik khas TT Games, petualangan mendebarkan ini menciptakan kembali adegan dan rangkaian aksi yang tak terlupakan dari film-film tersebut, memungkinkan penggemar untuk memainkan momen-momen penting dan memberi mereka kesempatan untuk sepenuhnya menjelajahi wilayah luas Isla Nublar dan Isla Sorna.",https://romsfun.com/wp-content/uploads/2021/04/1619102308-249d9778-276e-4dc3-98cc-96f3b67e4397.jpg,,
LEGO Marvel Avengers,"[""Action"", ""Adventure""]",7.6,10,2016,PS4,"Salah satu set video game Lego terlaris sepanjang masa yang harus disebutkan adalah seri game “Lego Marvel's Avengers”. Ini adalah salah satu versi Lego Marvel yang dibangun berdasarkan kisah The Avengers. Game “Lego Marvel's Avengers” membawa pemain ke petualangan aksi yang sangat seru dengan karakter Lego yang sangat lucu berdasarkan simulasi pahlawan alam semesta Marvel. “Lego Marvel's Avengers” dikenal sebagai petualangan superhero yang benar-benar baru dengan gameplay dasar berdasarkan film-film blockbuster Marvel. Game ini memperkenalkan penggemar di seluruh dunia dengan karakter film Marvel seperti Iron Man, Captain America, Hulk, Black Widow, Thor, Loki, Vision, Hawkeye, … salah satu dari mereka akan dipilih untuk memasuki petualangan bersama pemain. Mirip dengan versi sebelumnya dari seri ini, “Lego Marvel's Avengers” membawa pemain ke petualangan aksi yang diselingi dengan memecahkan teka-teki dasar. Bersamaan dengan tugas melawan musuh, pemain juga harus menggunakan kecerdasannya untuk menemukan cara memecahkan teka-teki sulit dalam game.",https://romsfun.com/wp-content/uploads/2019/11/lego-marvels-avengers-ps4.png,,
LEGO Marvel Super Heroes,"[""Action"", ""Adventure""]",8.3,6.21,2013,PS4,"Memasuki jagat film Marvel, kita akan menikmati waktu menjelajahi versi game Lego sebelumnya melalui seri video game “Lego Marvel Super Heroes”. Salah satu judul game bertema Lego, “Lego Marvel Super Heroes” dikembangkan oleh raja game petualangan aksi Tales. Dengan gameplay yang mirip dengan versi game sebelumnya, pemain juga dapat mengendalikan 180 karakter khas dari jagat Marvel untuk dapat berpartisipasi dalam menjelajahi game. Setiap karakter yang dipilih pemain memiliki teknik permainan yang unik. Penjahat utama dalam game yang dihadapi pemain adalah Galactus, seorang taipan berukuran Marvel yang memungkinkan pemain untuk bebas menggunakan kemampuan bertarungnya. Memasuki game, pemain dapat memilih salah satu karakter favorit mereka untuk berpartisipasi dalam misi cerita dalam game. Game ini akan membagi 15 misi utama dalam setiap kampanye dan 12 misi sampingan tambahan. Tugas pemain adalah menyelesaikan pertandingan yang diberikan dalam misi tersebut untuk membuka level baru dalam kampanye game.",https://romsfun.com/wp-content/uploads/2019/11/lego-marvel-super-heroes-ps4.png,,
LEGO Marvel Super Heroes 2,"[""Action"", ""Adventure""]",7.9,17.91,2017,PS4,Sekuel LEGO Marvel dengan multiverse dan karakter baru.,https://romsfun.com/wp-content/uploads/2020/12/LEGO_Marvel_Superheroes_2_PS4__14689.1573137510.jpg,,
LEGO Movie 2 Videogame,"[""Action"", ""Adventure"", ""Family""]",6.8,5,2019,PS4,Game LEGO berdasarkan film The LEGO Movie 2.,,,
LEGO Ninjago Movie Video Game,"[""Action"", ""Adventure""]",7.4,8,2017,PS4,Game action LEGO dengan jurus bela diri Ninjago.,https://romsfun.com/wp-content/uploads/2021/07/LEGO-Ninjago-Movie-Game-Videogame-PS4-300x380-1.jpg,,
LEGO Star Wars: The Skywalker Saga,"[""Action"", ""Adventure""]",9,40,2022,PS4,Game LEGO Star Wars paling lengkap dengan semua film saga.,"https://m.media-amazon.com/images/I/81MT10oCXOL._AC_UF1000,1000_QL80_.jpg",,
LEGO The Incredibles,"[""Action"", ""Adventure"", ""Family""]",7.3,8,2018,PS4,Petualangan LEGO keluarga superhero Incredibles.,https://romsfun.com/wp-content/uploads/2021/07/81qTRHW2NvL._SL1500_-300x379-1.jpg,,
LEGO The Hobbit,"[""Action"", ""Adventure""]",7.6,10,2014,PS4,"Melanjutkan Travel Tales, kita akan menikmati serangkaian game Lego terkenal seperti game “LEGO The Hobbit”. Seperti seri game Lego yang telah dirilis sebelumnya, kita akan merasakan petualangan aksi selanjutnya dari game-game sebelumnya melalui seri video game “LEGO The Hobbit”. Memasuki game arcade “LEGO The Hobbit”, kita akan merasakan petualangan karakter game yang sudah terpasang di dalam game. Pemain dapat memilih salah satu karakter tersebut untuk berpartisipasi dalam menyelesaikan misi game. Karakter pemain di awal petualangan akan diberikan sistem empat hati untuk menunjukkan nyawanya. Tugas pemain adalah mengendalikan karakter di sekitar area permainan untuk menghancurkan musuh dan mengumpulkan koin emas yang tersebar di sekitar area permainan. Pemain dapat membangun objek Lego besar ketika mereka memilih material yang tepat di area permainan, yang akan membantu pemain menemukan tempat untuk membangun mesin Lego dengan menukarkan paku keling. Jika karakter game menerima Cincin Tunggal, mereka dapat membangun struktur Lego yang tak terlihat.",https://romsfun.com/wp-content/uploads/2019/11/lego-the-hobbit-ps4.png,,
Limbo,"[""Puzzle"", ""Platformer""]",9,1,2015,PS4,"Masa Depan Ada di Tanganmu Setelah runtuhnya peradaban, Sam Bridges harus melakukan perjalanan melintasi lanskap yang hancur dan dipenuhi ancaman dari dunia lain untuk menyelamatkan umat manusia dari ambang kepunahan. Dari pencipta game legendaris Hideo Kojima hadir pengalaman baru yang menantang genre untuk sistem PlayStation®4. Dibintangi oleh Norman Reedus, Mads Mikkelsen, Léa Seydoux, dan Lindsay Wagner.",https://romsfun.com/wp-content/uploads/2025/04/Limbo.jpg,,
Mafia III,"[""Action"", ""Open World""]",7.5,50,2016,PS4,"Mafia III adalah gim aksi-petualangan yang berlatar dunia terbuka dan dimainkan dari sudut pandang orang ketiga, di mana pemain mengendalikan Lincoln Clay, seorang veteran Perang Vietnam yang berupaya membalas dendam atas keluarga angkatnya yang dibunuh oleh mafia lokal. Gim ini berlatar tahun 1968 di New Bordeaux, versi New Orleans yang diimajinasikan ulang, dengan dunia gim yang lebih besar daripada gabungan peta Mafia dan Mafia II. Peta Mafia III terdiri dari sepuluh distrik: Bayou Fantom, Delray Hollow, Barclay Mills, Frisco Fields, Pointe Verdun, Tickfaw Harbor, Southdowns, River Row, Downtown, dan French Ward. Pemain dapat menyelesaikan tujuan menggunakan berbagai pendekatan. Misalnya, pemain dapat menggunakan senjata yang disediakan dalam gim, seperti senapan dan revolver, untuk melenyapkan musuh, atau memanggil sekutu yang akan datang dengan van dan membantu pemain. Atau, mereka dapat menggunakan taktik siluman sepanjang misi tanpa diketahui musuh. Inti permainannya berpusat pada baku tembak. Selain itu, pemain juga dapat melakukan gerakan eksekusi dan terlibat dalam pertarungan jarak dekat. Permainan ini memiliki sistem perlindungan, memungkinkan pemain untuk berlindung di balik objek untuk menghindari tembakan musuh atau terdeteksi. Pemain dapat menginterogasi karakter non-pemain setelah mengalahkan mereka untuk mendapatkan informasi lebih lanjut tentang tujuan mereka, seperti menakut-nakuti mereka saat mengendarai mobil. Pemain dapat menyerang dan menguasai lokasi yang dimiliki oleh mafia Italia, dan menugaskan salah satu letnan mereka untuk beroperasi di sekitar area lokal. Permainan ini memungkinkan pemain untuk mengendarai mobil dari era tersebut dengan mekanisme dan suara mengemudi yang realistis.",https://romsfun.com/wp-content/uploads/2021/04/1619102335-92db7610-781f-4edd-abb0-227fffecabd5.jpg,,
Marvel's Spider-Man: Miles Morales,"[""Action"", ""Adventure""]",8.5,50,2020,PS4,Petualangan Spider-Man baru dengan kekuatan unik Miles.,"https://m.media-amazon.com/images/I/71K4AqkJibL._AC_UF1000,1000_QL80_.jpg",,
